,Station 72353013967,Station 99999903948,Station 72354099999,Station 72357003948,Station 72354013919,Station 72354403954,Station 99999903954,Station 72354499999,Station 72357099999
STATION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NAME,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
LATITUDE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LONGITUDE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ELEVATION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DATE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOURCE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REPORT_TYPE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CALL_SIGN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QUALITY_CONTROL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AA1,0.6748435506409867,0.0,0.042030119303735576,0.02734227616822805,0.07602701501149273,0.8787102344722412,0.866250810110175,0.08693848524357,0.06304715170840215
AA2,0.047193025092654474,0.0,0.0043223156659495405,0.0009285349217435049,0.01987816759522886,0.037340629520402784,0.0,0.012948915491288373,9.546812796547872e-06
AA3,0.003727443951637402,0.0,0.0,0.00021139555855255587,0.001953291272145972,0.00343130109106404,0.0,0.0008198016672592944,0.0
AA4,9.113554893978979e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB1,0.0007716143143568868,0.0,0.0,0.0,0.0,0.0010204196055125085,0.005589760207388205,0.0,0.0
AD1,0.0007898414241448448,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005589760207388205,0.0,0.0
AE1,0.0007928792757761711,0.0016495817132084363,0.0,0.0,2.36475940937769e-05,0.0010260263066416981,0.005589760207388205,0.0,0.0
AG1,3.037851631326326e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AH1,0.0007017437268363813,0.0,0.0,0.0,0.0,0.00099799280099575,0.005508749189889825,0.0,0.0
AH2,0.0007017437268363813,0.0,0.0,0.0,0.0,0.00099799280099575,0.005508749189889825,0.0,0.0
AH3,0.0007017437268363813,0.0,0.0,0.0,0.0,0.00099799280099575,0.005346727154893065,0.0,0.0
AH4,0.000698705875205055,0.0,0.0,0.0,0.0,0.00099799280099575,0.005265716137394686,0.0,0.0
AH5,0.000698705875205055,0.0,0.0,0.0,0.0,0.00099799280099575,0.005184705119896306,0.0,0.0
AH6,0.000698705875205055,0.0,0.0,0.0,0.0,0.00099799280099575,0.005184705119896306,0.0,0.0
