BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200205,8,1949,200205,8,1957,1133292,5289028,OKLAHOMA,40,2002,May,Tornado,C,53,GRANT,OUN,08-MAY-02 19:49:00,CST,08-MAY-02 19:57:00,0,0,0,0,0K,,STORM CHASER,,,,,F0,6.0,75.0,,,,,6.0,S,LAMONT,6.0,S,LAMONT,36.61667,-97.55,36.7,-97.46667,,A storm chaser captured this tornado on video as it tracked northeastward for 6 miles. No damage was observed or reported.,PDS
200205,24,1727,200205,24,1729,1133302,5287762,OKLAHOMA,40,2002,May,Tornado,C,149,WASHITA,OUN,24-MAY-02 17:27:00,CST,24-MAY-02 17:29:00,0,0,0,0,0K,,STORM CHASER,,,,,F0,0.2,25.0,,,,,3.0,SE,BURNS FLAT,3.0,SE,BURNS FLAT,35.31667,-99.13333,35.31667,-99.13333,,Storm chasers reported a brief tornado wrapped in rain. No damage was observed or reported.,PDS
200204,11,2152,200204,11,2155,1133136,5288403,OKLAHOMA,40,2002,April,Tornado,C,47,GARFIELD,OUN,11-APR-02 21:52:00,CST,11-APR-02 21:55:00,0,0,0,0,0K,,STORM CHASER,,,,,F0,1.0,25.0,,,,,10.0,ENE,HUNTER,10.0,ENE,HUNTER,36.61667,-97.48333,36.56667,-97.45,,This tornado moved through northeast Garfield County for one mile before moving into Noble County. No damage was observed or reported in Garfield County.,PDS
200204,11,2155,200204,11,2159,1133136,5288404,OKLAHOMA,40,2002,April,Tornado,C,103,NOBLE,OUN,11-APR-02 21:55:00,CST,11-APR-02 21:59:00,0,0,0,0,0K,,STORM CHASER,,,,,F0,1.0,25.0,,,,,3.0,N,BILLINGS,3.0,N,BILLINGS,36.58333,-97.43333,36.56667,-97.41667,,"After exiting Garfield County, this tornado moved approximately one mile before dissipating. No damage was observed or reported in Noble County.",PDS
200204,11,2152,200204,11,2152,1133136,5288402,OKLAHOMA,40,2002,April,Tornado,C,53,GRANT,OUN,11-APR-02 21:52:00,CST,11-APR-02 21:52:00,0,0,0,0,0K,,STORM CHASER,,,,,F0,0.1,25.0,,,,,8.0,SE,LAMONT,8.0,SE,LAMONT,36.61667,-97.45,36.61667,-97.45,,This tornado developed on the county line and was seen by several storm chasers. No damage was observed or reported in Grant County.,PDS
200205,5,2110,200205,5,2114,1133290,5288914,OKLAHOMA,40,2002,May,Tornado,C,43,DEWEY,OUN,05-MAY-02 21:10:00,CST,05-MAY-02 21:14:00,0,0,0,0,40K,,EMERGENCY MANAGER,,,,,F1,1.0,75.0,,,,,6.0,ESE,SEILING,6.0,ESE,SEILING,36.11667,-98.83333,36.15,-98.85,,"This tornado formed approximately 5.5 miles east southeast of Seiling and moved northwestward for 1 mile before dissipating. One-half of a well-constructed, anchored mobile home was ripped off with contents of the home strewn in the yard. The other half of the home was twisted in the direction the tornado traveled. Two large locust trees were also uprooted.",PDS
200204,16,1918,200204,16,1928,1133144,5288764,OKLAHOMA,40,2002,April,Tornado,C,5,ATOKA,OUN,16-APR-02 19:18:00,CST,16-APR-02 19:28:00,0,0,0,0,30K,,EMERGENCY MANAGER,,,,,F1,3.0,100.0,,,,,2.0,W,ATOKA,2.0,W,ATOKA,34.38333,-96.16667,34.4,-96.13333,,"This tornado, witnessed by at least one local citizen, formed on the west side of Atoka and moved three miles before dissipating on the north side of Atoka. Damage was sustained to hangar doors at a local airport. A boat inside the hangar was blown outside. A travel trailer was blown over, and damage was sustained to stands at a baseball park.",PDS
200204,17,2332,200204,18,5,1133145,5287529,OKLAHOMA,40,2002,April,Tornado,C,151,WOODS,OUN,17-APR-02 23:32:00,CST,18-APR-02 00:05:00,1,0,0,0,35K,,STORM CHASER,,,,,F2,15.0,880.0,,,,,10.0,SE,WAYNOKA,10.0,SE,WAYNOKA,36.48333,-98.75,36.6,-98.48333,"Numerous severe thunderstorms were observed over western Oklahoma during the afternoon and evening of the 17th and early morning of the 18th. Four tornadoes were confirmed, and there were several reports of very large hail, even one report of softball size hail (4.5 inches in diameter). The tornadoes were at night with the largest tornado, believed to be up to one mile wide, causing a maximum of F2 damage over a 34 mile path across northwest Oklahoma. Another tornado resulted in F3 damage.","This tornado is a continuation of the tornado that moved out of Major County at 0032 CST. The tornado curved to the right as it crossed the Cimarron River and moved northeastward for 15 miles before entering Alfalfa County at 0005 CST on April 18th. In Woods County, about 2 miles southwest of the intersection of State Highway 45 and the Woods County line, the roof of a trailer house was completely removed, and an exterior wall on the northeast side of the house was badly damaged and partially removed from the structure. The owner of the house received minor abrasions to his arm. Across the road from the house, a barn was unroofed, and most of the walls were destroyed. Otherwise, only tree damage was observed across Woods County.",PDS
200204,17,2241,200204,17,2247,1133145,5287530,OKLAHOMA,40,2002,April,Tornado,C,153,WOODWARD,OUN,17-APR-02 22:41:00,CST,17-APR-02 22:47:00,0,0,0,0,10K,,EMERGENCY MANAGER,,,,,F1,3.0,400.0,,,,,7.0,SE,MUTUAL,7.0,SE,MUTUAL,36.16667,-99.08333,36.2,-99.06667,"Numerous severe thunderstorms were observed over western Oklahoma during the afternoon and evening of the 17th and early morning of the 18th. Four tornadoes were confirmed, and there were several reports of very large hail, even one report of softball size hail (4.5 inches in diameter). The tornadoes were at night with the largest tornado, believed to be up to one mile wide, causing a maximum of F2 damage over a 34 mile path across northwest Oklahoma. Another tornado resulted in F3 damage.","This is a continuation of the tornado that exited Dewey County at 2241 CST. In Woodward County, a well constructed metal barn, 40 x 60 ft, cemented to the ground, was picked up and moved about 3.5 ft. Also, hay bales were blown around, and trees were damaged.",PDS
200205,16,2305,200205,16,2307,1133294,5287551,OKLAHOMA,40,2002,May,Tornado,C,9,BECKHAM,OUN,16-MAY-02 23:05:00,CST,16-MAY-02 23:07:00,0,0,0,0,0K,,STORM CHASER,,,,,F0,0.5,100.0,,,,,4.0,N,TEXOLA,4.0,N,TEXOLA,35.28333,-99.98333,35.28333,-99.98333,"Severe thunderstorms developed across the Texas panhandle during the evening of the 16th and moved into western Oklahoma, eventually dissipating over central Oklahoma during the early morning of the 17th. One area of severe thunderstorms produced sporadic areas of significant straight-line wind damage across portions of Roger Mills, Dewey, and Custer Counties, while another thunderstorm was responsible for a short-lived tornado in western Beckham County. There were also several reports of golf ball size hail (1.75 inches in diameter).","Two storm chasers observed this tornado as it formed just east of the Texas/Oklahoma state line, north of Texola. No damage was observed or reported.",PDS
