STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,WND_direction_angle,WND_direction_quality_code,WND_type_code,WND_speed_rate,WND_speed_quality_code,CIG_ceiling_height,CIG_ceiling_quality_code,CIG_ceiling_determination_code,CIG_cavok_code,VIS_distance,VIS_distance_quality_code,VIS_variability_code,VIS_variability_quality_code,TMP_air_temperature,TMP_air_temperature_quality_code,DEW_dew_point,DEW_dew_point_quality_code,SLP_sea_level_pressure,SLP_sea_level_pressure_quality_code,TORNADO_OCCURRENCE,TORNADO_BEGIN_DATE_TIME
72354499999,35.533,-97.65,396.0,2000-01-01 00:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 00:53:00,190,1,N,26,1,22000,1,9,N,16093,1,N,1,70,1,10,1,10169,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 01:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 01:53:00,160,1,N,36,1,22000,1,9,N,16093,1,N,1,70,1,10,1,10164,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 02:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 02:53:00,190,1,N,46,1,22000,1,9,N,16093,1,N,1,60,1,10,1,10167,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 03:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 03:53:00,170,1,N,36,1,22000,1,9,N,16093,1,N,1,70,1,20,1,10163,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 04:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 04:53:00,190,1,N,31,1,22000,1,9,N,16093,1,N,1,40,1,10,1,10160,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 05:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 05:53:00,190,1,N,51,1,22000,1,9,N,16093,1,N,1,60,1,10,1,10157,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 06:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 06:53:00,190,1,N,57,1,22000,1,9,N,16093,1,N,1,80,1,20,1,10146,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 07:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 07:53:00,180,1,N,46,1,22000,1,9,N,16093,1,N,1,70,1,20,1,10142,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 08:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 08:53:00,170,1,N,62,1,22000,1,9,N,16093,1,N,1,80,1,20,1,10139,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 09:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 09:53:00,180,1,N,62,1,22000,1,9,N,16093,1,N,1,70,1,20,1,10136,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 10:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 10:53:00,170,1,N,67,1,22000,1,9,N,16093,1,N,1,70,1,20,1,10129,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 11:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 11:53:00,180,1,N,67,1,22000,1,9,N,16093,1,N,1,70,1,20,1,10127,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 12:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 12:53:00,180,1,N,62,1,22000,1,9,N,16093,1,N,1,70,1,20,1,10134,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 13:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 13:53:00,180,1,N,62,1,22000,1,9,N,14484,1,N,1,70,1,20,1,10132,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 14:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 14:53:00,180,1,N,77,1,22000,1,9,N,16093,1,N,1,90,1,30,1,10132,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 15:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 15:53:00,180,1,N,87,1,22000,1,9,N,16093,1,N,1,120,1,30,1,10128,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 16:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 16:53:00,180,1,N,103,1,22000,1,9,N,16093,1,N,1,150,1,20,1,10123,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 17:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 17:53:00,190,1,N,77,1,22000,1,9,N,16093,1,N,1,180,1,20,1,10113,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 18:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 18:53:00,180,1,N,103,1,22000,1,9,N,16093,1,N,1,200,1,0,1,10091,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 19:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 19:53:00,190,1,N,113,1,22000,1,9,N,16093,1,N,1,210,1,20,1,10072,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 20:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 20:53:00,190,1,N,129,1,22000,1,9,N,16093,1,N,1,220,1,20,1,10055,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 21:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 21:53:00,190,1,N,108,1,22000,1,9,N,16093,1,N,1,210,1,20,1,10059,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 22:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 22:53:00,170,1,N,72,1,22000,1,9,N,16093,1,N,1,200,1,30,1,10055,1,False,
72354499999,35.533,-97.65,396.0,2000-01-01 23:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-01 23:53:00,160,1,N,62,1,22000,1,9,N,16093,1,N,1,170,1,40,1,10054,1,False,
72354499999,35.533,-97.65,396.0,2000-01-02 00:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-02 00:53:00,170,1,N,87,1,22000,1,9,N,16093,1,N,1,170,1,50,1,10054,1,False,
72354499999,35.533,-97.65,396.0,2000-01-02 01:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-02 01:53:00,170,1,N,93,1,22000,1,9,N,16093,1,N,1,160,1,80,1,10055,1,False,
72354499999,35.533,-97.65,396.0,2000-01-02 02:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-02 02:53:00,170,1,N,98,1,22000,1,9,N,16093,1,N,1,160,1,90,1,10055,1,False,
72354499999,35.533,-97.65,396.0,2000-01-02 03:00:00,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,9999,9,9999,9,99999,9,False,
72354499999,35.533,-97.65,396.0,2000-01-02 03:53:00,180,1,N,82,1,22000,1,9,N,16093,1,N,1,150,1,110,1,10056,1,False,
