STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CIG,DEW,SLP,TMP,VIS,WND
72353013967,35.3889,-97.6006,391.7,2004-05-08T18:00:00,"22000,5,M,N","+0178,5","10159,5","+0278,5","016000,5,N,1","180,5,N,0093,5"
72353013967,35.3889,-97.6006,391.7,2004-05-08T18:52:00,"22000,5,M,N","+0178,5","10152,5","+0283,5","016000,5,N,1","180,5,N,0077,5"
72353013967,35.3889,-97.6006,391.7,2004-05-08T19:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-08T19:52:00,"22000,5,M,N","+0178,5","10149,5","+0289,5","016000,5,N,1","170,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-08T20:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-08T20:52:00,"22000,1,9,N","+0170,1","10141,1","+0290,1","016093,1,N,1","180,1,N,0087,1"
72353013967,35.3889,-97.6006,391.7,2004-05-08T21:00:00,"22000,5,M,N","+0172,5","10141,5","+0294,5","016000,5,N,1","180,5,N,0088,5"
72353013967,35.3889,-97.6006,391.7,2004-05-08T21:52:00,"22000,5,M,N","+0161,5","10139,5","+0289,5","016000,5,N,1","160,5,N,0103,5"
72353013967,35.3889,-97.6006,391.7,2004-05-08T22:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-08T22:52:00,"22000,5,M,N","+0161,5","10135,5","+0283,5","016000,5,N,1","170,5,N,0103,5"
72353013967,35.3889,-97.6006,391.7,2004-05-08T23:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-08T23:52:00,"22000,1,9,N","+0160,1","10135,1","+0270,1","016093,1,N,1","180,1,N,0093,1"
72353013967,35.3889,-97.6006,391.7,2004-05-09T00:00:00,"22000,5,M,N","+0161,5","10135,5","+0272,5","016000,5,N,1","180,5,N,0093,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T00:52:00,"22000,5,M,N","+0178,5","10137,5","+0250,5","016000,5,N,1","160,5,N,0082,5"
