,STATION,LATITUDE,LONGITUDE,ELEVATION,WND_direction_angle,WND_speed_rate,CIG_ceiling_height,VIS_distance,TMP_air_temperature,DEW_dew_point,SLP_sea_level_pressure
STATION,1.0,0.16978517793675127,-0.10853542129904088,0.1485245706748847,0.0002507886324691741,-0.0012447487923948207,0.026892499602137538,0.02901107016884484,0.001677788451837951,0.002187825722827249,0.0005344744441420326
LATITUDE,0.16978517793675127,1.0,-0.476864550610281,0.6846978888804939,-0.015096260607062647,0.044743650318261795,0.13657318189129505,0.06717147405970059,0.01922121387205984,-0.013946372014123732,0.0075189002301506895
LONGITUDE,-0.10853542129904088,-0.476864550610281,1.0,0.06343105283946317,0.015749505484031784,-0.06998303836446766,-0.09541298851991181,-0.2089235300091751,-0.030695956107654254,0.028299008048804097,0.010227019568755906
ELEVATION,0.1485245706748847,0.6846978888804939,0.06343105283946317,1.0,-0.001847297338548672,-0.0027470716732171984,0.06849653084012489,-0.15441860261687837,0.0007698006557299162,0.0040530982004121545,0.026847113443700058
WND_direction_angle,0.0002507886324691741,-0.015096260607062647,0.015749505484031784,-0.001847297338548672,1.0,0.2540934601317651,0.012507796754350969,0.012590721426917289,-0.13871047029967104,-0.17078455768563772,-0.009371811000261668
WND_speed_rate,-0.0012447487923948207,0.044743650318261795,-0.06998303836446766,-0.0027470716732171984,0.2540934601317651,1.0,-0.08089644794985673,0.074963422364424,0.07253216334968349,-0.025393439752829136,-0.2527402191834714
CIG_ceiling_height,0.026892499602137538,0.13657318189129505,-0.09541298851991181,0.06849653084012489,0.012507796754350969,-0.08089644794985673,1.0,0.3795071053954534,0.20227101031292763,-0.01707687487409831,0.009224243960385866
VIS_distance,0.02901107016884484,0.06717147405970059,-0.2089235300091751,-0.15441860261687837,0.012590721426917289,0.074963422364424,0.3795071053954534,1.0,0.2006867917954933,0.020608359786832686,-0.0191045123735366
TMP_air_temperature,0.001677788451837951,0.01922121387205984,-0.030695956107654254,0.0007698006557299162,-0.13871047029967104,0.07253216334968349,0.20227101031292763,0.2006867917954933,1.0,0.8469315194162913,-0.5288325528309583
DEW_dew_point,0.002187825722827249,-0.013946372014123732,0.028299008048804097,0.0040530982004121545,-0.17078455768563772,-0.025393439752829136,-0.01707687487409831,0.020608359786832686,0.8469315194162913,1.0,-0.5451832796722018
SLP_sea_level_pressure,0.0005344744441420326,0.0075189002301506895,0.010227019568755906,0.026847113443700058,-0.009371811000261668,-0.2527402191834714,0.009224243960385866,-0.0191045123735366,-0.5288325528309583,-0.5451832796722018,1.0
